compra_id,cliente_id,produto_id,valor,quantidade,data_compra,nome_x,pais,safra,tipo_uva,nome_y,idade,cidade,pontuacao_engajamento,assinante_clube,cancelou_assinatura
58,72,51,118.15,1,2023-11-07,Vinho 51,Brasil,2019,Tempranillo,Cliente 72,38,Salvador,8.36,Sim,Não
59,32,68,267.83,4,2023-03-02,Vinho 68,Itália,2022,Chardonnay,Cliente 32,60,Salvador,3.74,Não,Sim
60,76,59,368.23,5,2023-12-11,Vinho 59,Brasil,2021,Cabernet Sauvignon,Cliente 76,44,São Paulo,5.92,Sim,Não
61,3,47,70.84,2,2023-01-23,Vinho 47,Espanha,2022,Cabernet Sauvignon,Cliente 3,41,Belo Horizonte,6.31,Sim,Não
62,93,79,81.49,2,2023-07-02,Vinho 79,Espanha,2022,Malbec,Cliente 93,55,Goiânia,3.88,Não,Sim
63,97,35,103.21,3,2023-04-10,Vinho 35,Brasil,2020,Syrah,Cliente 97,59,Belo Horizonte,4.27,Sim,Não
64,80,23,174.57,4,2023-02-09,Vinho 23,Espanha,2023,Pinot Noir,Cliente 80,50,Curitiba,3.68,Não,Sim
65,26,87,266.73,1,2023-06-13,Vinho 87,Espanha,2023,Chardonnay,Cliente 26,31,Brasília,6.91,Não,Não
66,96,89,313.44,2,2023-10-26,Vinho 89,África do Sul,2018,Syrah,Cliente 96,48,São Paulo,5.19,Não,Sim
67,57,95,271.67,3,2023-03-15,Vinho 95,Espanha,2020,Malbec,Cliente 57,31,Brasília,2.83,Não,Sim
68,59,78,90.02,6,2023-12-06,Vinho 78,França,2021,Pinot Noir,Cliente 59,28,Fortaleza,5.77,Sim,Sim
69,40,36,112.65,1,2023-09-17,Vinho 36,Itália,2021,Tempranillo,Cliente 40,27,Curitiba,5.67,Sim,Não
70,68,71,78.35,2,2023-11-18,Vinho 71,Espanha,2018,Pinot Noir,Cliente 68,47,São Paulo,3.94,Sim,Sim
71,90,91,84.91,3,2023-08-10,Vinho 91,Brasil,2023,Pinot Noir,Cliente 90,63,Fortaleza,5.94,Sim,Não
72,41,72,339.71,2,2023-05-12,Vinho 72,Argentina,2019,Sauvignon Blanc,Cliente 41,50,Brasília,8.44,Não,Não
73,78,28,198.67,1,2023-07-24,Vinho 28,Itália,2022,Sauvignon Blanc,Cliente 78,58,Salvador,4.86,Não,Sim
74,14,60,132.05,5,2023-06-26,Vinho 60,Itália,2018,Syrah,Cliente 14,42,Curitiba,6.47,Sim,Não
75,99,97,237.4,1,2023-04-07,Vinho 97,África do Sul,2020,Syrah,Cliente 99,45,Brasília,8.67,Sim,Não
76,66,100,254.73,2,2023-05-28,Vinho 100,Itália,2021,Tempranillo,Cliente 66,41,Fortaleza,5.53,Não,Sim
77,53,16,159.65,1,2023-09-01,Vinho 16,França,2020,Sauvignon Blanc,Cliente 53,48,Belo Horizonte,6.78,Sim,Não
78,65,60,126.18,2,2023-07-09,Vinho 60,Itália,2018,Syrah,Cliente 65,53,Salvador,4.21,Sim,Sim
79,20,49,187.44,3,2023-02-17,Vinho 49,África do Sul,2018,Syrah,Cliente 20,53,Brasília,6.18,Sim,Não
80,5,21,308.56,4,2023-08-29,Vinho 21,Portugal,2019,Cabernet Sauvignon,Cliente 5,60,Brasília,3.29,Sim,Não
81,90,33,94.76,1,2023-04-03,Vinho 33,África do Sul,2019,Sauvignon Blanc,Cliente 90,63,Fortaleza,5.94,Sim,Não
82,54,56,271.36,5,2023-11-10,Vinho 56,Argentina,2022,Sauvignon Blanc,Cliente 54,35,Salvador,4.67,Sim,Sim
83,36,70,109.07,2,2023-12-20,Vinho 70,França,2023,Tempranillo,Cliente 36,48,Fortaleza,2.68,Não,Sim
84,79,26,195.78,3,2023-01-30,Vinho 26,Chile,2023,Chardonnay,Cliente 79,39,Brasília,6.23,Sim,Não
85,13,38,317.99,2,2023-03-18,Vinho 38,França,2022,Pinot Noir,Cliente 13,37,São Paulo,2.55,Sim,Sim
86,35,76,221.88,4,2023-06-22,Vinho 76,Itália,2023,Chardonnay,Cliente 35,52,Brasília,8.09,Sim,Não
87,22,39,258.19,2,2023-07-27,Vinho 39,Espanha,2019,Cabernet Sauvignon,Cliente 22,40,Goiânia,2.66,Não,Sim
88,31,67,161.64,1,2023-10-08,Vinho 67,Brasil,2020,Merlot,Cliente 31,29,Belo Horizonte,9.21,Sim,Não
89,14,12,100.93,3,2023-02-12,Vinho 12,Itália,2023,Merlot,Cliente 14,42,Curitiba,6.47,Sim,Não
90,75,32,154.82,1,2023-05-02,Vinho 32,Argentina,2022,Merlot,Cliente 75,55,Fortaleza,6.65,Não,Sim
91,46,85,295.12,2,2023-06-18,Vinho 85,Portugal,2020,Pinot Noir,Cliente 46,40,Salvador,4.23,Não,Sim
92,81,20,243.4,2,2023-08-05,Vinho 20,Itália,2018,Chardonnay,Cliente 81,32,Fortaleza,6.74,Sim,Não
93,2,29,210.55,3,2023-09-14,Vinho 29,Portugal,2021,Pinot Noir,Cliente 2,32,Salvador,9.57,Sim,Não
94,22,4,88.79,4,2023-11-20,Vinho 4,Itália,2022,Cabernet Sauvignon,Cliente 22,40,Goiânia,2.66,Não,Sim
95,100,40,123.33,1,2023-01-14,Vinho 40,Argentina,2021,Syrah,Cliente 100,37,Goiânia,5.36,Não,Sim
96,43,44,219.8,2,2023-03-04,Vinho 44,Itália,2019,Merlot,Cliente 43,59,Goiânia,6.72,Não,Não
97,25,66,164.96,5,2023-04-25,Vinho 66,Chile,2019,Malbec,Cliente 25,30,Rio de Janeiro,6.53,Sim,Não
98,9,55,132.79,2,2023-12-01,Vinho 55,Espanha,2020,Malbec,Cliente 9,47,Fortaleza,8.14,Sim,Não
99,91,90,93.87,1,2023-07-06,Vinho 90,Chile,2020,Merlot,Cliente 91,38,Belo Horizonte,8.51,Não,Não
100,14,19,243.77,3,2023-10-30,Vinho 19,Brasil,2020,Merlot,Cliente 14,42,Curitiba,6.47,Sim,Não
